day,country,recovery,new_cases,deaths,cases,total_negative_tests
3/3/20,AR,0,1,0,1,
3/4/20,AR,0,0,0,1,
3/5/20,AR,0,1,0,2,
3/6/20,AR,0,6,0,8,
3/7/20,AR,0,1,1,9,
3/8/20,AR,0,3,0,12,
3/9/20,AR,0,5,0,17,
3/10/20,AR,0,2,0,19,
3/11/20,AR,0,2,0,21,
3/12/20,AR,1,10,0,31,
3/13/20,AR,4,3,2,34,
3/14/20,AR,5,11,0,45,
3/15/20,AR,0,11,0,56,
3/16/20,AR,12,9,0,65,464
3/17/20,AR,0,13,0,78,496
3/18/20,AR,16,19,3,97,562
3/19/20,AR,22,31,0,128,705
3/20/20,AR,27,30,0,158,872
3/21/20,AR,28,67,4,225,1028
3/22/20,AR,39,41,0,266,1271
3/23/20,AR,51,36,0,301,1453
3/24/20,AR,52,86,6,387,1453
3/25/20,AR,63,117,8,502,1946
3/26/20,AR,72,87,12,589,2258
3/27/20,AR,76,101,17,690,2817
3/28/20,AR,80,55,19,745,
3/29/20,AR,91,75,20,820,3215
3/30/20,AR,,146,24,966,3877
3/31/2020,AR,,88,27,1054,
